theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.3894736842105263,-6.157894736842105,0.608675,5.0,0.09960645867327855,0.0,0.0,0.075,0.003,0.227,1.731,0.062,0.193,0.035
0.4052631578947369,-6.157894736842105,0.58525,5.0,0.10898720456667836,0.0,0.0,0.076,0.003,0.237,1.731,0.062,0.204,0.039
0.4210526315789474,-6.157894736842105,0.563555,5.0,0.11902126161855137,0.0,0.0,0.077,0.003,0.246,1.731,0.062,0.215,0.043
0.4368421052631579,-6.157894736842105,0.543451,5.0,0.12976157445628456,0.0,0.0,0.078,0.003,0.257,1.731,0.062,0.227,0.047
0.45263157894736844,-6.157894736842105,0.524721,5.0,0.14126622064268196,0.0,0.0,0.079,0.003,0.268,1.731,0.062,0.239,0.053
0.46842105263157896,-6.157894736842105,0.507236,5.0,0.1535988780796989,0.0,0.0,0.079,0.003,0.28,1.731,0.062,0.253,0.058
0.4842105263157895,-6.157894736842105,0.490495,5.0,0.16682909035914603,0.0,0.0,0.08,0.003,0.293,1.731,0.062,0.267,0.064
0.5,-6.157894736842105,0.475138,5.0,0.18103271331345921,0.0,0.0,0.081,0.003,0.306,1.731,0.062,0.282,0.071
0.2,-5.947368421052632,1.179872,5.0,0.027923606782423796,0.0,0.0,0.06,0.004,0.17,1.763,0.069,0.103,0.013
0.21578947368421053,-5.947368421052632,1.095968,5.0,0.03280056510956408,0.0,0.0,0.063,0.004,0.175,1.763,0.069,0.112,0.014
0.23157894736842105,-5.947368421052632,1.022532,5.0,0.03803390565229981,0.0,0.0,0.066,0.004,0.181,1.763,0.069,0.12,0.015
0.2473684210526316,-5.947368421052632,0.95788,5.0,0.04363668447095407,0.0,0.0,0.069,0.004,0.187,1.763,0.069,0.129,0.017
0.26315789473684215,-5.947368421052632,0.902165,5.0,0.04962562094602075,0.0,0.0,0.071,0.004,0.193,1.763,0.069,0.138,0.019
0.2789473684210526,-5.947368421052632,0.852278,5.0,0.05602085992020765,0.0,0.0,0.073,0.004,0.2,1.763,0.069,0.147,0.021
0.2947368421052632,-5.947368421052632,0.806802,5.0,0.06284591930298647,0.0,0.0,0.075,0.004,0.207,1.763,0.069,0.157,0.023
0.3105263157894737,-5.947368421052632,0.766374,5.0,0.07012765350029967,0.0,0.0,0.077,0.004,0.214,1.763,0.069,0.166,0.025
0.3263157894736842,-5.947368421052632,0.729819,5.0,0.07789634713274714,0.0,0.0,0.079,0.004,0.222,1.763,0.069,0.176,0.028
0.34210526315789475,-5.947368421052632,0.696605,5.0,0.08618583705074036,0.0,0.0,0.08,0.004,0.23,1.763,0.069,0.187,0.031
0.35789473684210527,-5.947368421052632,0.666295,5.0,0.09503369770967503,0.0,0.0,0.082,0.004,0.239,1.763,0.069,0.197,0.034
0.37368421052631584,-5.947368421052632,0.63852,5.0,0.10448147027884484,0.0,0.0,0.083,0.004,0.249,1.763,0.069,0.209,0.038
0.3894736842105263,-5.947368421052632,0.612971,5.0,0.11457495305544306,0.0,0.0,0.085,0.004,0.259,1.763,0.069,0.22,0.042
0.4052631578947369,-5.947368421052632,0.58938,5.0,0.12536449300589694,0.0,0.0,0.086,0.004,0.269,1.763,0.069,0.233,0.046
0.4210526315789474,-5.947368421052632,0.567574,5.0,0.13690518342940008,0.0,0.0,0.087,0.004,0.28,1.763,0.069,0.245,0.051
0.4368421052631579,-5.947368421052632,0.547322,5.0,0.14925720463422995,0.0,0.0,0.088,0.004,0.292,1.763,0.069,0.259,0.056
