theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.9111111111111112,7.555555555555555,0.272722,0.0,0.0,0.04867424086253623,5.892042230800929,5.89108980431697,3.0666011463415437,2.8244886579754267,0.66,0.652,6.745,7.556,0.091,6.717,6.706
1.0,7.555555555555555,0.248383,0.0,0.0,0.046626867538702495,6.302306930619142,6.3012090361174025,3.4764824997205332,2.824726536396869,0.663,0.653,7.156,7.556,0.091,7.13,7.118
0.2,8.0,1.2502,0.0,10.0,1.0,0.8055819280007468,0.0,0.0,0.0,0.648,0.0,1.75,8.0,0.096,1.616,0.0
0.2888888888888889,8.0,0.865554,0.0,10.0,1.0,1.5323432331810096,0.0,0.0,0.0,0.685,0.0,2.482,8.0,0.096,2.388,0.0
0.37777777777777777,8.0,0.662061,0.0,6.387832479202846,0.0,2.38453887253783,1.406658610001882,0.08296427666065773,1.3236943333412243,0.704,0.178,3.336,8.0,0.096,3.265,1.629
0.4666666666666667,8.0,0.535821,0.0,3.2045101089099064,0.0,3.2497921620385584,3.0136271690525307,0.5709273845812529,2.442699784471278,0.717,0.461,4.203,8.0,0.096,4.145,3.59
0.5555555555555556,8.0,0.450093,0.0,0.9420717295205902,0.0,4.042845037044958,4.035238794954154,1.3183622279768024,2.7168765669773514,0.725,0.678,4.997,8.0,0.096,4.949,4.882
0.6444444444444445,8.0,0.388038,0.0,0.5460449929857243,0.0,4.733670071786762,4.732798101308744,2.0080048215006903,2.724793279808054,0.731,0.716,5.689,8.0,0.096,5.647,5.627
0.7333333333333334,8.0,0.341026,0.0,0.40984849171487087,3.337951799814914e-05,5.32768487683226,5.327497481209473,2.601393483127522,2.7261039980819515,0.735,0.729,6.283,8.0,0.096,6.247,6.238
0.8222222222222222,8.0,0.30418,0.0,0.3585172888133582,1.804636178876412e-05,5.842235584915914,5.842104974781378,3.115714650280294,2.726390324501084,0.739,0.734,6.798,8.0,0.096,6.766,6.759
0.9111111111111112,8.0,0.27452,0.0,0.3015287046856676,3.1671778918129244e-05,6.2949303897123094,6.294894237380548,3.5681922476101713,2.726701989770377,0.742,0.739,7.252,8.0,0.096,7.222,7.219
1.0,8.0,0.250126,0.0,0.2490212661710282,0.0001219104292897665,6.700117159087879,6.700117155487354,3.973272059811701,2.726845095675653,0.744,0.744,7.657,8.0,0.096,7.63,7.63
