theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
6.612244897959183,0.05559,0.26827582263517813,3.106201635750617,3.0268253897008117,0.841537490956026,2.185287898744786,0.496,0.384,3.758,6.616,0.079,3.726,3.507
6.6938775510204085,0.055102,0.2324727813866185,3.1823033314410294,3.1278920507286037,0.9263556980534886,2.201536352675115,0.508,0.413,3.851,6.697,0.08,3.817,3.644
6.775510204081632,0.054622,0.20972428801321114,3.258514933957155,3.2167863222169473,1.0130119392522967,2.2037743829646503,0.521,0.435,3.943,6.778,0.081,3.91,3.761
6.857142857142857,0.054151,0.18979708914588217,3.3348115967652774,3.302693598558807,1.10079445126389,2.2018991472949168,0.534,0.457,4.036,6.859,0.082,4.002,3.874
6.938775510204081,0.053688,0.17062375412146757,3.4111697907563165,3.387137700551791,1.1895166539402042,2.1976210466115864,0.547,0.479,4.129,6.941,0.083,4.095,3.986
7.020408163265306,0.053232,0.15041212403523052,3.4875672608861406,3.47088871698554,1.2790884700986445,2.1918002468868956,0.56,0.502,4.223,7.022,0.084,4.188,4.099
7.1020408163265305,0.052785,0.13209883974125217,3.5639829811386603,3.552795107421698,1.369483777177168,2.18331133024453,0.573,0.525,4.316,7.103,0.085,4.281,4.209
7.183673469387754,0.052345,0.11826069712261143,3.640397108257526,3.6325706559468203,1.460585344405532,2.171985311541288,0.587,0.546,4.41,7.185,0.086,4.374,4.315
7.26530612244898,0.051913,0.1070342190741987,3.7167909348936226,3.7112299342804684,1.5522203240453918,2.159009610235077,0.601,0.566,4.504,7.266,0.087,4.467,4.418
7.346938775510203,0.051488,0.09711098131912663,3.7931468423670176,3.789270645522242,1.6442873570530836,2.1449832884691586,0.614,0.585,4.598,7.348,0.088,4.561,4.52
7.428571428571429,0.051071,0.08757117385042468,3.869448253563836,3.8669235183489654,1.7367283788105239,2.1301951395384418,0.628,0.604,4.693,7.429,0.089,4.655,4.622
7.5102040816326525,0.05066,0.07866346439334793,3.945679586120676,3.9441666720799207,1.829512433530246,2.114654238549675,0.643,0.624,4.787,7.511,0.09,4.749,4.724
7.591836734693877,0.050257,0.07209600075480248,4.021826206319542,4.020886669848343,1.9226045147294049,2.0982821551189383,0.657,0.642,4.882,7.592,0.091,4.843,4.823
7.673469387755102,0.04986,0.06469068519658058,4.097874383697608,4.0974327026794,2.0159328298364088,2.0814998728429916,0.671,0.661,4.977,7.674,0.092,4.937,4.924
7.755102040816326,0.049469,0.057161825574168594,4.173811246765689,4.173690207106554,2.10950175618557,2.064188450920984,0.686,0.68,5.071,7.756,0.093,5.031,5.024
7.836734693877551,0.049086,0.051798364498694745,4.249624739834116,4.2496093732075035,2.2032992278653465,2.046310145342157,0.701,0.699,5.166,7.837,0.094,5.126,5.123
7.918367346938775,0.048708,0.049197367870161,4.3253035810471,4.325303071400457,2.2972652266233355,2.0280378447771215,0.716,0.715,5.261,7.919,0.095,5.22,5.22
8.0,0.048337,0.04833618537028594,4.400837221891985,4.400837221885384,2.3913303778068666,2.0095068440785173,0.731,0.731,5.356,8.0,0.096,5.314,5.314
